Tipo,FORMULACION,Código,Medio,Cantidad,Mínimo,Quantil25,Mediana,Quantil75,Máximo,Desviación Estandar,Varianza,Error Estandar
Granularidad 12,ENGORDE ESP VR ,200543.0,0.81,29,0.24,0.44,0.84,1.04,1.84,0.41,0.17,0.08
Granularidad 12,FINALIZADOR VR,200119.0,1.92,3,1.68,1.82,1.96,2.04,2.12,0.22,0.05,0.13
Granularidad 12,FINALIZADOR VR,200544.0,0.68,60,0.04,0.44,0.64,0.88,1.56,0.35,0.12,0.04
Granularidad 12,LEVANTE ,200107.0,2.2,1,2.2,2.2,2.2,2.2,2.2,,,
Granularidad 12,LEVANTE ESP VR,200542.0,0.75,74,0.0,0.4,0.7,1.04,1.84,0.45,0.2,0.05
Granularidad 12,LEVANTE VR,200541.0,0.84,119,0.16,0.5,0.72,0.98,2.28,0.48,0.24,0.04
Granularidad 14,ENGORDE ESP VR ,200543.0,6.05,29,2.36,4.88,5.96,6.92,10.96,2.18,4.74,0.4
Granularidad 14,FINALIZADOR VR,200119.0,8.27,3,7.6,8.0,8.4,8.6,8.8,0.61,0.37,0.35
Granularidad 14,FINALIZADOR VR,200544.0,5.87,60,0.92,4.67,5.69,7.41,9.84,2.12,4.49,0.27
Granularidad 14,LEVANTE ,200107.0,9.6,1,9.6,9.6,9.6,9.6,9.6,,,
Granularidad 14,LEVANTE ESP VR,200542.0,5.33,74,0.0,3.18,5.38,7.42,10.6,2.63,6.91,0.3
Granularidad 14,LEVANTE VR,200541.0,6.23,120,1.2,5.13,6.32,7.57,9.96,1.88,3.55,0.17
Granularidad 16,ENGORDE ESP VR ,200543.0,5.38,29,2.8,4.22,5.16,6.58,8.76,1.67,2.79,0.31
Granularidad 16,FINALIZADOR VR,200119.0,6.25,3,6.0,6.06,6.12,6.38,6.64,0.34,0.12,0.2
Granularidad 16,FINALIZADOR VR,200544.0,5.85,60,2.44,4.51,5.98,7.14,9.76,1.65,2.71,0.21
Granularidad 16,LEVANTE ,200107.0,6.8,1,6.8,6.8,6.8,6.8,6.8,,,
Granularidad 16,LEVANTE ESP VR,200542.0,4.97,74,0.0,3.37,5.24,6.62,8.12,1.89,3.58,0.22
Granularidad 16,LEVANTE VR,200541.0,5.77,120,2.28,4.88,5.82,6.48,8.88,1.22,1.5,0.11
Granularidad Pan,ENGORDE ESP VR ,200543.0,87.56,29,78.84,85.2,88.0,90.06,94.4,4.05,16.44,0.75
Granularidad Pan,FINALIZADOR VR,200119.0,82.79,3,82.2,82.26,82.32,83.08,83.84,0.91,0.84,0.53
Granularidad Pan,FINALIZADOR VR,200544.0,87.41,60,78.84,83.99,87.22,89.89,96.16,3.79,14.37,0.48
Granularidad Pan,LEVANTE ,200107.0,80.14,1,80.14,80.14,80.14,80.14,80.14,,,
Granularidad Pan,LEVANTE ESP VR,200542.0,88.75,74,79.36,84.46,89.0,92.87,100.0,4.88,23.78,0.56
Granularidad Pan,LEVANTE VR,200541.0,86.94,119,80.48,84.51,86.92,88.98,95.0,3.23,10.43,0.29
