Instrumento,Punto,Dieta,Media,Cantidad,Mínimo,Quantil25,Mediana,Quantil75,Máximo,Desviacion Estandar,Varianza,Error Estandar
TERMOMETRO PLANTA,ACONDICIONADOR 1,FINAL VR,71.65,10,69.34,71.6,71.82,72.21,72.54,0.91,0.83,0.29
TERMOMETRO PLANTA,ACONDICIONADOR 1,FINALIZADOR VR.,69.84,6,56.02,70.61,72.48,73.51,74.24,6.92,47.95,2.83
TERMOMETRO PLANTA,ACONDICIONADOR 1,LEVANTE ESP VR,71.84,8,62.23,72.47,72.56,73.8,74.85,3.99,15.89,1.41
TERMOMETRO PLANTA,ACONDICIONADOR 1,LEVANTE VR,72.12,18,64.06,71.24,72.13,73.39,80.12,3.25,10.59,0.77
TERMOMETRO AGROINDUSTRIA,ACONDICIONADOR 1,FINAL VR,70.75,10,54.0,71.1,71.3,72.2,81.5,6.71,44.97,2.12
TERMOMETRO AGROINDUSTRIA,ACONDICIONADOR 1,FINALIZADOR VR.,71.1,6,64.8,70.28,71.1,73.28,75.6,3.71,13.75,1.51
TERMOMETRO AGROINDUSTRIA,ACONDICIONADOR 1,LEVANTE ESP VR,70.25,8,62.0,69.85,71.95,72.4,73.9,4.0,15.99,1.41
TERMOMETRO AGROINDUSTRIA,ACONDICIONADOR 1,LEVANTE VR,72.09,18,64.1,70.22,71.8,75.1,80.4,4.06,16.45,0.96
TERMOMETRO AGROINDUSTRIA,ENFRIADORA 1,FINAL VR,31.17,10,29.1,30.32,30.95,32.15,33.5,1.38,1.91,0.44
TERMOMETRO AGROINDUSTRIA,ENFRIADORA 1,FINALIZADOR VR.,34.97,6,32.9,34.2,34.4,34.83,39.0,2.09,4.37,0.85
TERMOMETRO AGROINDUSTRIA,ENFRIADORA 1,LEVANTE ESP VR,32.21,8,30.2,31.58,32.1,33.22,34.1,1.37,1.87,0.48
TERMOMETRO AGROINDUSTRIA,ENFRIADORA 1,LEVANTE VR,32.26,18,29.0,31.32,32.3,32.92,39.4,2.23,4.99,0.53
TERMOMETRO AGROINDUSTRIA,PELLET 1,FINAL VR,78.99,10,70.0,79.1,79.8,80.47,82.0,3.4,11.57,1.08
TERMOMETRO AGROINDUSTRIA,PELLET 1,FINALIZADOR VR.,81.62,6,75.3,81.3,82.8,83.32,84.5,3.31,10.98,1.35
TERMOMETRO AGROINDUSTRIA,PELLET 1,LEVANTE ESP VR,82.58,8,79.3,81.78,82.9,84.02,84.3,1.79,3.2,0.63
TERMOMETRO AGROINDUSTRIA,PELLET 1,LEVANTE VR,83.79,18,76.4,82.22,83.3,85.18,93.3,3.57,12.74,0.84
